分野,単語,英語,意味,
ストラテジ系,KGI,Key Goal Indicator,重要目標達成指標。企業目標やビジネス戦略の遂行によって達成すべき到達目標（Goal）を、測定可能な数値で表したもの,
ストラテジ系,KPI,Key Performance Indicator,重要業績評価指標。企業目標やビジネス戦略の実現に向けて行われるビジネスプロセスについて、その実施状況をモニタリングするために設定する指標,
ストラテジ系,LMS,Learnng Manafement System,学習マネジメントシステム,
ストラテジ系,M&A,Mergers and Acquisitions,合併と買収の略で、自社に吸収合併したり、他社の株式を多く取得し買収することで子会社化し、自社の経営資源とすることが可能な戦略。新規事業や市場への参入、企業グループの再編、事業統合、経営が不振な企業の救済など様々な目的で実施される,
ストラテジ系,MBO,Management by Objectives,目標による管理。目標による管理。自ら設定した目標の達成を目指して従業員が主体的に業務に取り込み、その達成度に応じて評価が行われることである,
ストラテジ系,MBO,Management Buyout,企業の経営陣が自社株の買取りを実施し、企業の所有権を取得すること,
ストラテジ系,MHS,Message Handling System,電子メールについての標準を定めた規格であり、ITU-Tによって、X.4..として勧告されている,
ストラテジ系,MOT,Management of Technology,"技術経営。技術開発の成果によって事業利益を獲得すること
イノベーションを創出、経営の考え方",
ストラテジ系,MRP,Materials Requirements Planning,資材所要量計画。構成部品及び仕掛け品の在庫削減。部品表と生産計画をもとに必要な資材の所要量を求め、これを基準に在庫、発注、納入の管理を支援する計画方式、またはそれを実現するシステム,
ストラテジ系,MSP,Management Service Provider,"マネジメントサービスプロバイダ
サービス提供事業者が、ほかの企業の情報システムに関する企業や開発、運用、管理、保守業務を行うサービス",
ストラテジ系,NDA,Non Disclosure Agreement,"守非義務契約もしくは秘密保持契約
営業秘密や個人情報などをやり取りする取引を行う場合、その情報の開示の目的、範囲、官吏方法、禁止事項などを明確にするために締結された契約を指す",
ストラテジ系,NIST,National Institute of Standards and Technology,アメリカの技術革新や産業競争力を強化するために、経済保障を強化して生活の質を高めるように計測学、規格、産業技術を促進することを目的とする機関,
ストラテジ系,NPV,Net Present Value,"正味現在価値法。現金流入の現在価値から、現金流出の現在価値を差し引いたもの
一定期間におけるキャッシュフロー（インフロー、アウトフロー含む）に対して、現在価値でのキャッシュフローの合計値を求めるもの",
ストラテジ系,O2O,Online to Offline,オンライン・ツー・オフライン。インターネット上で先に販売促進キャンペーンなどを展開した上で、顧客を実世界の店舗に誘導して購買を促す手法,
ストラテジ系,ODM,Original Design Manufacturer,"設計も含めてえ受託する企業。自社で設計し、自社工場で生産した製品を相手先ブランドで納入する
製品の設計、試作、製造を一括して生産受託するサービスのこと",
ストラテジ系,OEM,Original Equipment Manufacturing,相手先の商標やブランドで製品を製造し、供給すること,
ストラテジ系,off-JT,Off-the-Job Training,実際の現場で行われるOJTに対して、主に業務にあたる上で求められる理論や原理を学ぶことを目的として、職場を離れた場所で行われる人材教育（研修や勉強会）,
ストラテジ系,OJT,On the Job Training,職場内訓練。実際の現場で上司や先輩の指導のもとで仕事を体系的・計画的に習得させていく教育方法。主に原理を知ることではなく業務遂行をできることを目的とした指導を行うときに行われる教育方法,
ストラテジ系,PBD,Privacy by Design,プライバシーバイデザイン。個人情報を取り扱うシステムを構築する際に、上流工程と呼ばれるシステムの企画・設計段階において個人情報を一貫して保護する仕組みを計画し、その仕組みを業務プロセスや開発するシステムに組み込む思想のこと,
ストラテジ系,PDF,Portable Document Format,テキストや画像だけでなく、レイアウトやフォントの情報などもファイルに収めることができる文書表示用のフォーマットである,
ストラテジ系,PDPC,Process Decision Program Chart,実施過程で起こりうる不測の事態を事前に予測しながら、計画の開始から最終結果に至る過程や手順を時間の推移に従って矢印で結合した図であり、試行錯誤をさえられない状態における最適策の立案に役立つ,
ストラテジ系,PERT,Program Evaluation and Review Technique,アローダイアグラム。工程の開始から完了までの各作業を、それぞれの関係を保ちながら時系列に並べて矢印で結んだ図であり、ある作業に遅れが生じた時の全体日程への影響を把握したり、最短日程を算出したりするのに役立つ,
ストラテジ系,PLM,Product Lifecycle Management,製品開発、製造、販売、保守、リサイクルに至る製造業のプロセスにおいて、製品に関連する情報を一元管理し、商品力向上やコスト低減を図る,
ストラテジ系,PMO,Project Management Office,リスクを最小化するように支援する専門組織を設けることによって、組織全体のプロジェクトマネジメント,
ストラテジ系,POS,Point Of Sales,"販売時点での商品ごとの販売情報の把握

JANコードという商品識別バーコードが用いられている（事業者コード、商品アイテムコード、チェックディジットで組み合わせる）",
ストラテジ系,PPM,Product Portfolio Management,プロダクトポートフォリオマネジメント。市場成長率,
ストラテジ系,PTS法,Predetermined Time Standard,既定時間標準法。観測対象の作業内容を基本動作にまで分解・分析し、作業条件ごとに設定した基本動作の標準時間から作業時間を割り出す,
ストラテジ系,RFC,Request for Comments,インターネット技術の標準仕様やルールを定めた公式文書群で、「コメントを求める」,
ストラテジ系,RFID,Radio Frequency IDentification,"ID情報を埋め込んだRFタグ（ICタグ）と電磁界や電波を用いることで、数cm～数mの範囲で情報のやり取りを行う技術。
特徴として【見えなくても読める】ことが挙げられる、RFタグが目に見えない隠れた位置にあっても、タグ表面がホコリや泥などで汚れていても読み取りすることができる。この利点が生かして乗車カード（スイカなど）以外に、電子荷札、野生動物の調査、自動レジ、家畜の管理等に利用されている",
ストラテジ系,ROA,Return On Asset,総資産利益率。当期純損益を総資産で割った数値で、収益性と効率性を同時に示す指標,
ストラテジ系,ROAS,Return On Advertising Spend,"広告の費用対効果を示す指標である
ROAS = 広告経由 / 広告費用 * 100(%)",
